id,title,poll_org,client_org,date_range,sample_size,url,source,nttId,classification,regionKey,municipality,electionType,electionTypes
15816,경상북도 예천군    기초단체장선거 정당지지도,(주)비전코리아,전국단위 신문/인터넷언론 : 포털신문/올리서치,2026-03-27 10:30 ~ 2026-03-28 17:50,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17941&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=11,출처: 중앙선거여론조사심의위원회,17941,"{'region': {'level': 'municipality', 'metro': '경상북도', 'metroKey': 'gyeongbuk', 'municipality': '예천군'}, 'electionTypes': ['mayor'], 'hasPartySupport': True, 'isRegularSurvey': False}",gyeongbuk,예천군,mayor,['mayor']
15815,경상남도 양산시    기초단체장선거 정당지지도,(주)이너텍시스템즈,시·도단위 신문 : (주)뉴스경남,2026-03-27 10:00 ~ 2026-03-28 21:40,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17940&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=11,출처: 중앙선거여론조사심의위원회,17940,"{'region': {'level': 'municipality', 'metro': '경상남도', 'metroKey': 'gyeongnam', 'municipality': '양산시'}, 'electionTypes': ['mayor'], 'hasPartySupport': True, 'isRegularSurvey': False}",gyeongnam,양산시,mayor,['mayor']
15814,전국   정기(정례)조사 정당지지도,(주)여론조사꽃,조사기관 자체 : (주)여론조사꽃,2026-03-27 14:10 ~ 2026-03-28 21:00,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17939&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=12,출처: 중앙선거여론조사심의위원회,17939,"{'region': {'level': 'national', 'metro': None, 'metroKey': None, 'municipality': None}, 'electionTypes': ['party_support'], 'hasPartySupport': True, 'isRegularSurvey': True}",,,party_support,['party_support']
15813,경상남도 창원시    기초단체장선거 정당지지도,(주)이너텍시스템즈,시·도단위 신문 : (주)뉴스경남,2026-03-27 10:00 ~ 2026-03-28 21:40,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17938&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=12,출처: 중앙선거여론조사심의위원회,17938,"{'region': {'level': 'municipality', 'metro': '경상남도', 'metroKey': 'gyeongnam', 'municipality': '창원시'}, 'electionTypes': ['mayor'], 'hasPartySupport': True, 'isRegularSurvey': False}",gyeongnam,창원시,mayor,['mayor']
15812,경상남도 전체    교육감선거,(주)이너텍시스템즈,시·도단위 신문 : (주)뉴스경남,2026-03-27 09:40 ~ 2026-03-28 21:40,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17937&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=12,출처: 중앙선거여론조사심의위원회,17937,"{'region': {'level': 'metro', 'metro': '경상남도', 'metroKey': 'gyeongnam', 'municipality': None}, 'electionTypes': ['superintendent'], 'hasPartySupport': False, 'isRegularSurvey': False}",gyeongnam,,superintendent,['superintendent']
15811,전국   정기(정례)조사 정당지지도,(주)여론조사꽃,조사기관 자체 : (주)여론조사꽃,2026-03-27 18:00 ~ 2026-03-28 21:00,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17936&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=12,출처: 중앙선거여론조사심의위원회,17936,"{'region': {'level': 'national', 'metro': None, 'metroKey': None, 'municipality': None}, 'electionTypes': ['party_support'], 'hasPartySupport': True, 'isRegularSurvey': True}",,,party_support,['party_support']
15810,경상북도 경주시    기초단체장선거 정당지지도,(주)에이스리서치,시·도단위 신문 : 경상투데이,2026-03-27 13:00 ~ 2026-03-28 21:02,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17935&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=12,출처: 중앙선거여론조사심의위원회,17935,"{'region': {'level': 'municipality', 'metro': '경상북도', 'metroKey': 'gyeongbuk', 'municipality': '경주시'}, 'electionTypes': ['mayor'], 'hasPartySupport': True, 'isRegularSurvey': False}",gyeongbuk,경주시,mayor,['mayor']
15809,경기도 안산시  갑 선거구   국회의원선거 정당지지도,KOPRA,개인 : 고성국TV,2026-03-23 16:15 ~ 2026-03-24 21:45,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17910&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=12,출처: 중앙선거여론조사심의위원회,17910,"{'region': {'level': 'municipality', 'metro': '경기도', 'metroKey': 'gyeonggi', 'municipality': '안산시'}, 'electionTypes': ['party_support'], 'hasPartySupport': True, 'isRegularSurvey': False}",gyeonggi,안산시,party_support,['party_support']
15808,대전광역시 전체    정당지지도 광역단체장선거 교육감선거,(주)리얼미터,인터넷언론 : 굿모닝충청,2026-03-26 11:10 ~ 2026-03-27 21:30,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17934&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=12,출처: 중앙선거여론조사심의위원회,17934,"{'region': {'level': 'metro', 'metro': '대전광역시', 'metroKey': 'daejeon', 'municipality': None}, 'electionTypes': ['governor', 'superintendent'], 'hasPartySupport': True, 'isRegularSurvey': False}",daejeon,,governor,"['governor', 'superintendent']"
15807,전라남도 강진군    기초단체장선거,한국정책연구원,인터넷언론 : 오피니언뷰,2026-03-26 11:00,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17924&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=12,출처: 중앙선거여론조사심의위원회,17924,"{'region': {'level': 'municipality', 'metro': '전라남도', 'metroKey': 'jeonnamgwangju', 'municipality': '강진군'}, 'electionTypes': ['mayor'], 'hasPartySupport': False, 'isRegularSurvey': False}",jeonnamgwangju,강진군,mayor,['mayor']
